============================================================
  Generated by:           Genus(TM) Synthesis Solution GENUS15.23 - 15.20-s040_1
  Generated on:           Aug 21 2016  11:15:22 pm
  Module:                 processor
  Technology libraries:   fast_vdd1v0 1.0
                          abstract_models 
  Operating conditions:   PVT_1P1V_0C (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

           Instance            Cells  Cell Area  Net Area   Total Area  Wireload     
-------------------------------------------------------------------------------------
processor                      26826     123204         0       123204    <none> (D) 
  alu                          21946     105875         0       105875    <none> (D) 
    fpa                         4037      18305         0        18305    <none> (D) 
      FPDSAdder                 1656       6962         0         6962    <none> (D) 
        PA_MANTISSA_DIFF         453       1888         0         1888    <none> (D) 
          layer04_P_FF            24        131         0          131    <none> (D) 
          layer03_P_FF            24        131         0          131    <none> (D) 
          layer02_P_FF            24        131         0          131    <none> (D) 
          layer01_P_FF            24        131         0          131    <none> (D) 
          layer03_gOutL3_FF       12         66         0           66    <none> (D) 
          layer03_aOutL3_FF       12         66         0           66    <none> (D) 
          layer02_gOutL2_FF       12         66         0           66    <none> (D) 
          layer02_aOutL2_FF       12         66         0           66    <none> (D) 
          layer01_gOutL1_FF       12         66         0           66    <none> (D) 
          layer01_aOutL1_FF       12         66         0           66    <none> (D) 
          layer01_G_FF            11         60         0           60    <none> (D) 
          layer01_A_FF            11         60         0           60    <none> (D) 
          layer04_gOutL4_FF        8         44         0           44    <none> (D) 
          layer04_aOutL4_FF        8         44         0           44    <none> (D) 
          layer04_CARRY_FF         7         38         0           38    <none> (D) 
          layer03_gOutL2_FF        6         33         0           33    <none> (D) 
          layer03_aOutL2_FF        6         33         0           33    <none> (D) 
          layer02_gOutL1_FF        6         33         0           33    <none> (D) 
          layer02_aOutL1_FF        6         33         0           33    <none> (D) 
          layer02_G_FF             5         27         0           27    <none> (D) 
          layer02_A_FF             5         27         0           27    <none> (D) 
          layer04_gOutL3_FF        4         22         0           22    <none> (D) 
          layer04_aOutL3_FF        4         22         0           22    <none> (D) 
          layer03_gOutL1_FF        3         16         0           16    <none> (D) 
          layer03_aOutL1_FF        3         16         0           16    <none> (D) 
          layer04_gOutL2_FF        2         11         0           11    <none> (D) 
          layer04_aOutL2_FF        2         11         0           11    <none> (D) 
          layer03_G_FF             2         11         0           11    <none> (D) 
          layer03_A_FF             2         11         0           11    <none> (D) 
          layer04_gOutL1_FF        1          5         0            5    <none> (D) 
          layer04_aOutL1_FF        1          5         0            5    <none> (D) 
          layer04_G_FF             1          5         0            5    <none> (D) 
          layer04_A_FF             1          5         0            5    <none> (D) 
          level4_16                2          4         0            4    <none> (D) 
          level4_15                2          4         0            4    <none> (D) 
          level4_14                2          4         0            4    <none> (D) 
          level4_13                2          4         0            4    <none> (D) 
          level4_12                2          4         0            4    <none> (D) 
          level4_11                2          4         0            4    <none> (D) 
          level4_10                2          4         0            4    <none> (D) 
          level4_09                2          4         0            4    <none> (D) 
          level3_16                2          4         0            4    <none> (D) 
          level3_15                2          4         0            4    <none> (D) 
          level3_14                2          4         0            4    <none> (D) 
          level3_13                2          4         0            4    <none> (D) 
          level3_12                2          4         0            4    <none> (D) 
          level3_11                2          4         0            4    <none> (D) 
          level3_10                2          4         0            4    <none> (D) 
          level3_09                2          4         0            4    <none> (D) 
          level3_08                2          4         0            4    <none> (D) 
          level3_07                2          4         0            4    <none> (D) 
          level3_06                2          4         0            4    <none> (D) 
          level3_05                2          4         0            4    <none> (D) 
          level2_16                2          4         0            4    <none> (D) 
          level2_15                2          4         0            4    <none> (D) 
          level2_14                2          4         0            4    <none> (D) 
          level2_13                2          4         0            4    <none> (D) 
          level2_12                2          4         0            4    <none> (D) 
          level2_11                2          4         0            4    <none> (D) 
          level2_10                2          4         0            4    <none> (D) 
          level2_09                2          4         0            4    <none> (D) 
          level2_08                2          4         0            4    <none> (D) 
          level2_07                2          4         0            4    <none> (D) 
          level2_06                2          4         0            4    <none> (D) 
          level2_05                2          4         0            4    <none> (D) 
          level1_16                2          4         0            4    <none> (D) 
          level1_15                2          4         0            4    <none> (D) 
          level1_14                2          4         0            4    <none> (D) 
          level1_13                2          4         0            4    <none> (D) 
          level1_12                2          4         0            4    <none> (D) 
          level1_11                2          4         0            4    <none> (D) 
          level1_10                2          4         0            4    <none> (D) 
          level1_09                2          4         0            4    <none> (D) 
          level1_08                2          4         0            4    <none> (D) 
          level1_07                2          4         0            4    <none> (D) 
          level1_06                2          4         0            4    <none> (D) 
          level5_16                1          2         0            2    <none> (D) 
          level5_15                1          2         0            2    <none> (D) 
          level5_14                1          2         0            2    <none> (D) 
          level5_13                1          2         0            2    <none> (D) 
          level5_12                1          2         0            2    <none> (D) 
          level5_11                1          2         0            2    <none> (D) 
          level5_10                1          2         0            2    <none> (D) 
          level5_09                1          2         0            2    <none> (D) 
          level5_08                1          2         0            2    <none> (D) 
          level5_07                1          2         0            2    <none> (D) 
          level5_06                1          2         0            2    <none> (D) 
          level5_05                1          2         0            2    <none> (D) 
          level5_04                1          2         0            2    <none> (D) 
          level5_03                1          2         0            2    <none> (D) 
          level5_02                1          2         0            2    <none> (D) 
          level5_01                1          2         0            2    <none> (D) 
          level4_08                1          1         0            1    <none> (D) 
          level4_07                1          1         0            1    <none> (D) 
          level4_06                1          1         0            1    <none> (D) 
          level4_05                1          1         0            1    <none> (D) 
          level4_04                1          1         0            1    <none> (D) 
          level4_03                1          1         0            1    <none> (D) 
          level4_02                1          1         0            1    <none> (D) 
